,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,GDP growth (annual %),2024,2.76680373044994,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.89130738721937,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.55576878716199,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.56356807595664,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.85978392104712,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.20034043292389,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.66503807456533,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.69623782915112,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.19599120737905,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,GDP growth (annual %),2024,4.17610288931516,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,GDP growth (annual %),2023,3.35798699488655,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,GDP growth (annual %),2022,3.97496354483744,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,GDP growth (annual %),2021,4.03000030607359,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,GDP growth (annual %),2020,-0.984117425153343,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,GDP growth (annual %),2019,3.28216299793968,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,GDP growth (annual %),2018,2.90465437511295,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,GDP growth (annual %),2017,2.29616754739388,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,GDP growth (annual %),2016,0.194177489414145,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,GDP growth (annual %),2024,1.54891912399361,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,GDP growth (annual %),2023,1.5043551993806,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,GDP growth (annual %),2022,6.9954138183775,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,GDP growth (annual %),2021,4.40457595978891,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,GDP growth (annual %),2020,-4.75714499576827,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,GDP growth (annual %),2019,1.72691613697276,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,GDP growth (annual %),2018,2.64284520902167,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,GDP growth (annual %),2017,1.60482589556119,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,GDP growth (annual %),2016,3.54928351884918,Aggregates,Aggregates,Aggregates,,
27,S3,Caribbean small states,GDP growth (annual %),2024,13.3443258679345,Aggregates,Aggregates,Aggregates,,
28,S3,Caribbean small states,GDP growth (annual %),2023,9.00795196227071,Aggregates,Aggregates,Aggregates,,
29,S3,Caribbean small states,GDP growth (annual %),2022,15.0181571627766,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,GDP growth (annual %),2021,6.4790691099326,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,GDP growth (annual %),2020,-9.11325310356304,Aggregates,Aggregates,Aggregates,,
