,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.77265377493816,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.80636542181197,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.98520225155097,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.57738499231761,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.19139491127414,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.58441879909928,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.3605131044333,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.34633063442169,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.19466599460041,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.21831342109344,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.27724546605141,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.65857318082157,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.73673176237333,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.8523927005513,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.39527121076193,Aggregates,Aggregates,Aggregates,,
