,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
