,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,313805874905.517,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,300638136162.775,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,327245675975.611,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,281013856158.598,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,205739029586.49,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,241592762094.033,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,256174457178.484,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232995474830.71,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,192767883867.273,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,Exports of goods and services (current US$),2023,1705011616337.61,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,Exports of goods and services (current US$),2022,1792942499342.48,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,Exports of goods and services (current US$),2021,1280413945792.7,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,Exports of goods and services (current US$),2020,931624929432.865,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,Exports of goods and services (current US$),2019,1250082020508.15,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,Exports of goods and services (current US$),2018,1297104466484.15,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,Exports of goods and services (current US$),2017,1091141483975.71,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,Exports of goods and services (current US$),2016,953670218808.442,Aggregates,Aggregates,Aggregates,,
27,S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
28,S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
29,S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
36,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2024,1432499323209.18,Aggregates,Aggregates,Aggregates,,
37,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1426622122401.04,Aggregates,Aggregates,Aggregates,,
38,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1340773284280.94,Aggregates,Aggregates,Aggregates,,
39,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1216015549315.16,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,984779398118.942,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1040651199262.46,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1042005054973.48,Aggregates,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,929209684594.193,Aggregates,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,822183274462.679,Aggregates,Aggregates,Aggregates,,
45,V2,Early-demographic dividend,Exports of goods and services (current US$),2024,4045009441493.55,Aggregates,Aggregates,Aggregates,,
46,V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3907873184174.24,Aggregates,Aggregates,Aggregates,,
47,V2,Early-demographic dividend,Exports of goods and services (current US$),2022,4050253028525.19,Aggregates,Aggregates,Aggregates,,
48,V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3308041813036.81,Aggregates,Aggregates,Aggregates,,
49,V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2469528246752.41,Aggregates,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2938092688125.25,Aggregates,Aggregates,Aggregates,,
51,V2,Early-demographic dividend,Exports of goods and services (current US$),2018,3001946556313.97,Aggregates,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2700602812573.72,Aggregates,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2390256275463.05,Aggregates,Aggregates,Aggregates,,
54,Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,9926618964896.41,Aggregates,Aggregates,Aggregates,,
55,Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9301972838637.79,Aggregates,Aggregates,Aggregates,,
56,Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9693510150864.26,Aggregates,Aggregates,Aggregates,,
57,Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9049278372057.4,Aggregates,Aggregates,Aggregates,,
58,Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7224086680357.63,Aggregates,Aggregates,Aggregates,,
59,Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7544359240174.17,Aggregates,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7708024541192.92,Aggregates,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7096865379950.33,Aggregates,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6414167582269.55,Aggregates,Aggregates,Aggregates,,
63,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2024,5359718780616.22,Aggregates,Aggregates,Aggregates,,
64,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,4987099614625.44,Aggregates,Aggregates,Aggregates,,
65,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5274114247304.11,Aggregates,Aggregates,Aggregates,,
66,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4900097428196.65,Aggregates,Aggregates,Aggregates,,
67,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3830314913963.86,Aggregates,Aggregates,Aggregates,,
68,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3860702038809.63,Aggregates,Aggregates,Aggregates,,
69,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3882772295128.36,Aggregates,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3544681031780.24,Aggregates,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3186254392076.41,Aggregates,Aggregates,Aggregates,,
72,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2024,5352641138559.04,Aggregates,Aggregates,Aggregates,,
73,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,4980521538188.42,Aggregates,Aggregates,Aggregates,,
74,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2022,5267170123642.89,Aggregates,Aggregates,Aggregates,,
75,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2021,4893607305522.43,Aggregates,Aggregates,Aggregates,,
76,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2020,3825302751661.94,Aggregates,Aggregates,Aggregates,,
77,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2019,3855716912541.63,Aggregates,Aggregates,Aggregates,,
78,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2018,3877768022145.7,Aggregates,Aggregates,Aggregates,,
79,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2017,3540134717884.81,Aggregates,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2016,3182207457426.02,Aggregates,Aggregates,Aggregates,,
81,XC,Euro area,Exports of goods and services (current US$),2024,8132125645517.89,Aggregates,Aggregates,Aggregates,,
82,XC,Euro area,Exports of goods and services (current US$),2023,7981945273509.78,Aggregates,Aggregates,Aggregates,,
83,XC,Euro area,Exports of goods and services (current US$),2022,7796134472299.51,Aggregates,Aggregates,Aggregates,,
84,XC,Euro area,Exports of goods and services (current US$),2021,7232213151625.29,Aggregates,Aggregates,Aggregates,,
85,XC,Euro area,Exports of goods and services (current US$),2020,5911015486868.77,Aggregates,Aggregates,Aggregates,,
86,XC,Euro area,Exports of goods and services (current US$),2019,6427723858212.42,Aggregates,Aggregates,Aggregates,,
87,XC,Euro area,Exports of goods and services (current US$),2018,6525603876190.18,Aggregates,Aggregates,Aggregates,,
88,XC,Euro area,Exports of goods and services (current US$),2017,5939482188774.58,Aggregates,Aggregates,Aggregates,,
89,XC,Euro area,Exports of goods and services (current US$),2016,5403437728246.64,Aggregates,Aggregates,Aggregates,,
90,Z7,Europe & Central Asia,Exports of goods and services (current US$),2024,13128029403165.2,Aggregates,Aggregates,Aggregates,,
91,Z7,Europe & Central Asia,Exports of goods and services (current US$),2023,12845806555900.6,Aggregates,Aggregates,Aggregates,,
92,Z7,Europe & Central Asia,Exports of goods and services (current US$),2022,12786670813849.3,Aggregates,Aggregates,Aggregates,,
93,Z7,Europe & Central Asia,Exports of goods and services (current US$),2021,11580584344321.5,Aggregates,Aggregates,Aggregates,,
94,Z7,Europe & Central Asia,Exports of goods and services (current US$),2020,9325972302595.42,Aggregates,Aggregates,Aggregates,,
95,Z7,Europe & Central Asia,Exports of goods and services (current US$),2019,10240083195620.2,Aggregates,Aggregates,Aggregates,,
96,Z7,Europe & Central Asia,Exports of goods and services (current US$),2018,10378855458669.3,Aggregates,Aggregates,Aggregates,,
97,Z7,Europe & Central Asia,Exports of goods and services (current US$),2017,9382394854852.34,Aggregates,Aggregates,Aggregates,,
98,Z7,Europe & Central Asia,Exports of goods and services (current US$),2016,8525763143235.6,Aggregates,Aggregates,Aggregates,,
99,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2024,782664978810.082,Aggregates,Aggregates,Aggregates,,
100,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2023,747753663053.886,Aggregates,Aggregates,Aggregates,,
101,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2022,743326432619.052,Aggregates,Aggregates,Aggregates,,
